REGION_NAME	CHROMOSOME	START	STOP	LENGTH	BASES_PROBE_COVERAGE	FRAC_PROBE_COVERAGE	BASES_ESTIMATED_COVERAGE	FRAC_ESTIMATED_COVERAGE	BASES_W_NO_PROBE_COV	BASES_W_NO_PROBE_COV_DUE_TO_N	BASES_W_NO_PROBE_COV_DUE_TO_REPEATS	BASES_W_NO_EST_COV	BASES_W_NO_EST_COV_DUE_TO_N	BASES_W_NO_EST_COV_DUE_TO_REPEATS
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=1	chr1	27022894	27024031	1137	 1137	 1.00	 1137	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=2	chr1	27056141	27056354	213	  213	 1.00	  213	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=3	chr1	27057642	27058095	453	  453	 1.00	  453	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=4	chr1	27059166	27059283	117	  117	 1.00	  117	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=5	chr1	27087346	27087587	241	  241	 1.00	  241	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=6	chr1	27087874	27087964	90	   90	 1.00	   90	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=7	chr1	27088642	27088810	168	  168	 1.00	  168	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=8	chr1	27089463	27089776	313	  313	 1.00	  313	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=9	chr1	27092711	27092857	146	  146	 1.00	  146	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=10	chr1	27092947	27093057	110	  110	 1.00	  110	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=11	chr1	27094280	27094490	210	  210	 1.00	  210	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=12	chr1	27097609	27097817	208	  208	 1.00	  208	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=13	chr1	27098990	27099123	133	  133	 1.00	  133	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=14	chr1	27099302	27099478	176	  176	 1.00	  176	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=15	chr1	27099836	27099987	151	  151	 1.00	  151	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=16	chr1	27100070	27100208	138	  138	 1.00	  138	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=17	chr1	27100292	27100389	97	   97	 1.00	   97	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=18	chr1	27100819	27101711	892	  892	 1.00	  892	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=19	chr1	27102067	27102198	131	  131	 1.00	  131	 1.00	0	0	0	0	0	0
gene_name=ARID1A;ensemble_gene_id=ENSG00000117713;ensembl_transcript_id=ENST00000324856;exon_num=20	chr1	27105513	27107247	1734	 1704	 0.98	 1734	 1.00	30	0	25	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=23	chr1	97544531	97544702	171	  171	 1.00	  171	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=22	chr1	97547885	97548026	141	  141	 1.00	  141	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=21	chr1	97564044	97564188	144	  144	 1.00	  144	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=20	chr1	97658624	97658804	180	  180	 1.00	  180	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=19	chr1	97700407	97700550	143	  143	 1.00	  143	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=18	chr1	97770814	97770934	120	  120	 1.00	  120	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=17	chr1	97771732	97771853	121	  121	 1.00	  121	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=16	chr1	97839116	97839200	84	   84	 1.00	   84	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=15	chr1	97847948	97848017	69	   69	 1.00	   69	 1.00	0	0	0	0	0	0
gene=DPYD;variant=c.1905+1G>A;gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=14	chr1	97915564	97915779	215	  215	 1.00	  215	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=13	chr1	97981281	97981497	216	  216	 1.00	  216	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=12	chr1	98015115	98015300	185	  185	 1.00	  185	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=11	chr1	98039315	98039526	211	  211	 1.00	  211	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=10	chr1	98058773	98058943	170	  170	 1.00	  170	 1.00	0	0	0	0	0	0
gene=DPYD;variant=c.959-51T>C	chr1	98058944	98059044	100	  100	 1.00	  100	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=9	chr1	98060614	98060722	108	  108	 1.00	  108	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=8	chr1	98144650	98144738	88	   88	 1.00	   88	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=7	chr1	98157272	98157354	82	   82	 1.00	   82	 1.00	0	0	0	0	0	0
gene=DPYD;variant=c.680+139G>A	chr1	98164718	98164818	100	  100	 1.00	  100	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=6	chr1	98164906	98165103	197	  197	 1.00	  197	 1.00	0	0	0	0	0	0
gene=DPYD;variant=c.483+18G>A;gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=5	chr1	98186998	98187227	229	  229	 1.00	  229	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=4	chr1	98205947	98206035	88	   88	 1.00	   88	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=3	chr1	98293669	98293752	83	   83	 1.00	   83	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=2	chr1	98348819	98348930	111	  111	 1.00	  111	 1.00	0	0	0	0	0	0
gene_name=DPYD;ensemble_gene_id=ENSG00000188641;ensembl_transcript_id=ENST00000370192;exon_num=1	chr1	98386439	98386478	39	   39	 1.00	   39	 1.00	0	0	0	0	0	0
gene_name=NRAS;ensemble_gene_id=ENSG00000213281;ensembl_transcript_id=ENST00000369535;exon_num=4	chr1	115252189	115252349	160	  160	 1.00	  160	 1.00	0	0	0	0	0	0
gene_name=NRAS;ensemble_gene_id=ENSG00000213281;ensembl_transcript_id=ENST00000369535;exon_num=3	chr1	115256420	115256599	179	  179	 1.00	  179	 1.00	0	0	0	0	0	0
gene_name=NRAS;ensemble_gene_id=ENSG00000213281;ensembl_transcript_id=ENST00000369535;exon_num=2	chr1	115258670	115258781	111	  111	 1.00	  111	 1.00	0	0	0	0	0	0
gene_name=H3F3A;ensemble_gene_id=ENSG00000163041;ensembl_transcript_id=ENST00000366815;exon_num=2	chr1	226252052	226252180	128	   99	 0.77	  128	 1.00	29	0	0	0	0	0
gene_name=ALK;ensemble_gene_id=ENSG00000171094;ensembl_transcript_id=ENST00000389048;exon_num=19;gene_name=ALK;ensemble_gene_id=ENSG00000171094;ensembl_transcript_id=ENST00000389048;exon_num=20;gene_name=ALK;ensemble_gene_id=ENSG00000171094;ensembl_transcript_id=ENST00000389048;intron_num=19	chr2	29446207	29448431	2224	 2224	 1.00	 2224	 1.00	0	0	0	0	0	0
gene_name=IDH1;ensemble_gene_id=ENSG00000138413;ensembl_transcript_id=ENST00000345146;exon_num=6	chr2	209108150	209108328	178	  178	 1.00	  178	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=2	chr3	178916613	178916965	352	  352	 1.00	  352	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=3	chr3	178917477	178917687	210	  210	 1.00	  210	 1.00	0	0	0	0	0	0
